,,Compound,Text,Tweets Ago
30,,0.4588,"My heart melts every time I see pics of @HaileeSteinfeld + @NiallOfficial, honestly ?https://t.co/g9NWc32FP1",31
31,,-0.1027,Tweet us random words using #iHeartRoyceda59 and @Royceda59 will drop a freestyle with them ? https://t.co/Rox9CpvqDv,32
32,,0.4939,My excitement level knowing I get to see @5SOS at #WangoTango tomorrow ?? https://t.co/KismYJbDVt,33
33,,0,RT @Michaelraymusic: FINALLY #AMOS is out today &amp; you can watch me answer the questions you've been sending to the @bobbybonesshow.   thank…,34
34,,0.765,"RT @Michaelraymusic: thanks to my friends @iHeartRadio, @cmt and especially @CodyAlan for the invite to be on the show for my @iHeartCountr…",35
35,,0.7184,RT @dvsndvsn: We just did @AskAnythingChat for our friends at @SteveHarveyFM https://t.co/zwJLsTnjO7. Thanks to @IAmSteveHarvey @iHeartRadi…,36
36,,0,"Can’t catch your favs at #WangoTango this weekend? We've got you covered! ?

Watch performances from @ArianaGrande,… https://t.co/mW93f3PPak",37
37,,0.1695,A @Zedd + @ShawnMendes collab is on the way and I haven't stopped yelling ? https://t.co/HVFYBXSUZn,38
38,,0,Don't expect to see @Camila_Cabello aimlessly scrolling through social media anytime soon ??https://t.co/9HKlymZrI3,39
39,,0.9595,"In honor of Pride and the LGBTQ community, listen to 'Pride Radio' on iHeartRadio to celebrate free love.

??:… https://t.co/VB7eDZQw98",40
40,,0.1867,"Don't miss out on performances from @ArianaGrande, @ShawnMendes, @5SOS and more this Saturday at #WangoTango! Watch… https://t.co/KBmJ6h8u9R",41
41,,0,"""I think that's something we can all do: we can all learn from this conversation."" ? @charli_xcx https://t.co/0rPzAhnjpT",42
42,,0.4588,My love for @HaileeSteinfeld knows no bounds ? https://t.co/LspPIdwXkr,43
43,,0.3612,"The music video for ""Girls Like You"" features cameos from @Camila_Cabello, @RitaOra, @maryjblige + more ? https://t.co/OUlOsT1pPd",44
44,,0,? @Drake apparently knew about his secret baby since day one https://t.co/POZm8gmfon,45
45,,0,Biiiiiig mood ? | @DUALIPA https://t.co/hts4QgqwUH,46
46,,0.4738,RT @ATT: This night is gonna pop! ? Get ready for @iHeartRadio #WangoTango! Streaming here LIVE on June 2nd at 7pm PT. https://t.co/VcJUBD2…,47
47,,0.7845,? @NICKIMINAJ is spilling some major tea about her upcoming #Queen album and sharing some great relationship advice https://t.co/7oqcFSbGDU,48
48,,0,Can't wait to see these boys at #WangoTango Village on Saturday ? | @JackAndJack https://t.co/pNdrxby683,49
49,,0,Me to donuts 20 minutes after starting my diet ? | @selenagomez https://t.co/HuIwsv5MAi,50
50,,0,Would you rather be #Friends with @marshmellomusic and @AnneMarie or @justinbieber and @bloodpop? ? https://t.co/IAaJm8kNa4,51
51,,0,RT @Aly_Raisman: ? https://t.co/K1cKpheHDK,52
52,,0,? Y E S ? https://t.co/qRHA6fYGhE,53
53,,0,Mood when your mom says you're having pizza for dinner ? | @BebeRexha https://t.co/irz395lwEk,54
54,,-0.296,Cardi B just realized Childish Gambino and Donald Glover are the same person: https://t.co/lRroJkorZd https://t.co/41TqoblX3k,55
55,,0.6369,Can we treat every day like it's @Normani's birthday? ? https://t.co/MHfwLCostk,56
56,,0,Ever wonder what the @backstreetboys think of their old #TBT photos? ? https://t.co/aN6MZgWTAC,57
57,,0.7096,"Now with @Logic301 on our #iHeartDayStage lineup, it's a perfect time to go buy tickets and join us in Vegas this S… https://t.co/eo6DFQubna",58
58,,0,19 facts you didnt know about the 2018 #WangoTango performers: https://t.co/mDk0J7ygHQ https://t.co/eoaMzTgOER,59
59,,0.7243,"Pssst, @jackaverymusic is the modern day Jack Dawson. Tell your friends!!!! ?? (you make a beautiful Rose,… https://t.co/bEFCdY4IYg",60
60,,0,@arianatorfrvvr @ArianaGrande @ShawnMendes @backstreetboys @ATT Show starts at 10PM Eastern Time and 7PM Pacific Time. #WangoTango,61
61,,0,Everything you need to know about the Drake + Pusha T beef: https://t.co/s1CFdLKxQg https://t.co/CpWwo5WaAe,62
62,,0.6549,"? @ArianaGrande, @ShawnMendes, @backstreetboys + so many more amazing artists will take the #WangoTango stage this… https://t.co/ZMqaMfdRa6",63
63,,0.0772,"Hey @ShawnMendes, do you want to get a 6th tattoo? @Logic301 wants to know... ? #WangoTango

https://t.co/yBFKW3qFEV",64
64,,0,The anthems you need to hear while going through a breakup: https://t.co/8gEqbOCEWO https://t.co/LYaNMw3TCc,65
65,,-0.0772,Offset found the man who saved his life after his recent accident and bought him a brand new car:… https://t.co/3ht8gr8Zlm,66
66,,0,"RT @ATT: Catch an incredible night of music featuring @Meghan_Trainor &amp; more at @iHeartRadio #WangoTango! Streaming here LIVE, 6/2, 7PM PT.…",67
67,,0,"?  ?  @Logic301 #iHeartDayStage 

https://t.co/l5FHiRPRjI https://t.co/uJ8Eza5pWc",68
68,,0.6114,Let's GO! Happy to announce that @Logic301 will be joining our stacked #iHeartDayStage lineup this fall in Las Vega… https://t.co/VoE79ll1IS,69
69,,0.6808,Honestly @samsmithworld's skin in this pic is brighter than my future https://t.co/ZLMiCZPPct,70
70,,0.3612,A @iamcardib remix of @maroon5's 'Girls Like You' is dropping tomorrow: https://t.co/oeJTYINkzD ? https://t.co/Fb6upVNjNX,71
71,,0,Pete Davidson + @ArianaGrande made it Instagram official yesterday with the most magical picture... literally:… https://t.co/jmNaqtibSb,72
72,,0.4215,Which @ShawnMendes track are you hoping to hear at #WangoTango this Saturday? ? https://t.co/ZfWsfeBpjH,73
73,,-0.4588,".@MileyCyrus is back in the studio making ""heartbreaking tunes"" with @MarkRonson: https://t.co/8mIxHV06l7 https://t.co/I0vJssgEuI",74
74,,-0.4404,?? @ArianaGrande teased a new #Sweetner track about her anxiety: https://t.co/Lrp08k314D https://t.co/IlW3syTgxH,75
75,,0.4084,"This is your LAST CHANCE to enter, so what are you waiting for? You can have a private dinner with the one and only… https://t.co/JY40mH41Mj",76
76,,0.5719,"Happy Birthday to the queen of my heart, Normani ? https://t.co/JVUx5ZVNUW",77
77,,0,#TheFour is back! Tune in to the season 2 premiere of @TheFourOnFox on June 7th @ 8/7 CT https://t.co/nG5HgERmtF,78
78,,0,can’t wait bb ? #WangoTango https://t.co/qOOzzoCCSC,79
79,,0.6705,RT @ATT: This lineup is ?. Catch your favorite pop stars like @Meghan_Trainor and @ShawnMendes at @iHeartRadio #WangoTango. Streaming here…,80
80,,0.4588,RT @Zedd: @iHeartRadio @ShawnMendes You will get it :),81
81,,0.6369,"From @DUALIPA's 'New Rules' to @ArianaGrande's 'Problem,' here are the 10 best songs to listen to after a breakup:… https://t.co/1Ask9R9ZlB",82
82,,0.7718,@Zedd @ShawnMendes this is AMAZING news!!!! ?,83
83,,-0.2561,"I'm sorry for yelling, but I really need a @ShawnMendes and @Zedd collab!!! ??? https://t.co/WH53th9rkP",84
84,,0,".@JLo takes us behind the scenes of the ""Dinero"" music video ft. @iamcardib + @djkhaled: https://t.co/Kdf4GaQvgH ? https://t.co/vXmNbm3sxT",85
85,,0.8316,Kendrick Lamar took a break from the TDE Championship Tour to accept his Pulitzer prize for DAMN.:… https://t.co/4p81ULcaXd,86
86,,0,"I'll be wearing this rainbow eye look for the rest of my life, tysm @RitaOra ? https://t.co/6DqsqU97Lu",87
87,,-0.4824,This child support battle is getting MESSY ? https://t.co/5zjuAKvADy,88
88,,0.7096,Here's a lil' #WednesdayWisdom of @ddlovato speaking about true friends ? https://t.co/d4T2V5sZ6q,89
89,,0,16 songs that will give you allllll the graduation feels: https://t.co/ydd7qF2AMo ? https://t.co/x6zeyBUsan,90
90,,0.6369,"So, uh, @SnoopDogg just set the record for the world's largest gin &amp; juice and it's the best thing I've seen today:… https://t.co/9Apqsnjf1L",91
91,,0,"?

@HayleyKiyoko 
@Kehlani https://t.co/KopNXuZKer",92
92,,0.6124,Would you rather be an #Entertainer like @zaynmalik or #Entertain like @Sleater_Kinney? ? https://t.co/24hOskusIW,93
93,,0.6825,Oh snap! @brycevine will be performing at the FREE #WangoTango Village this Saturday! ? https://t.co/ICdiCsOnwl,94
94,,0,"After about six months and hundreds of tweets, but @Weezer finally released a cover of Toto's 1982 hit, ""Africa"" on… https://t.co/ffhkiQvWYi",95
95,,-0.5106,Kim Kardashian will be meeting with Trump today to discuss prison reform: https://t.co/giOjWYkZG3 https://t.co/RrUWSA5UNs,96
96,,0.4939,"Blessing your feed with our mother monster, @ladygaga  ? https://t.co/LFnLhevBFA",97
97,,0,? @LiamPayne just announced his first headlining show at the Beacon Theatre on June 20: https://t.co/wCEFWTxDV6 https://t.co/mE5zXrz0Lv,98
98,,0,RT @KISSFMPhoenix: The guys of @5SOS will be at our @iHeartRadio #WangoTango this Saturday! Will you be there too?! Get ticket info here #5…,99
99,,0,"Fingers crossed that @ShawnMendes + @5SOS actually stage dive together at #WangoTango this Saturday ? 

https://t.co/GLM8l8mpOJ",100
