,Sentiment,Compound,Text,Tweets Ago
58,,0.4019,"Kanye West releases ""Wyoming"" merchandise collection for ""Ye"" listening party https://t.co/oQ3dtwD4oj https://t.co/dAPjCE71r7",59
59,,0.7906,"RT @billboarddance: These are the 7 best remixes &amp; covers of @CalvinHarris &amp; @DUALIPA's ""One Kiss"" https://t.co/XzzL9malJH https://t.co/oaL…",60
60,,0,"RT @billboardhiphop: ""I have been listening to Lauryn Hill for as long as I have been able to speak...I strive to become the artist that sh…",61
61,,0.6369,Read @BebeRexha's love letter to the LGBTQ community #30DaysPride https://t.co/Uq1AhsPDzF https://t.co/m1RW5UPfiF,62
62,,0,9 ways the royal wedding impacted the Billboard charts https://t.co/Btk6rhH8at https://t.co/GoopK6wRAt,63
63,,0.6124,"From Pete Rodriguez to Tito Nieves to Cardi B, the definitive history of ""I Like It Like That""… https://t.co/QL9yWpFkj0",64
64,,-0.4588,Hacker claims they warned Ticketfly about vulnerability and sought payment https://t.co/rhpZmmLoWJ https://t.co/G4ikhOiJJf,65
65,,0,"Jimmy Fallon and Lin-Manuel Miranda goof off while boating in ""Two Goats in a Boat"" video https://t.co/TNFJ3LZOAE https://t.co/pqJzHfszdQ",66
66,,0,"Queen's ""Bohemian Rhapsody"" biopic trailer sparks title track &amp; other classics on the Hot Rock Songs chart… https://t.co/Ym3yomYgX5",67
67,,0.6369,Read @MartinGarrix's love letter to the LGBTQ community #30DaysPride https://t.co/HUOxQI06Wi https://t.co/RrLXHZARbg,68
68,,0.2732,"BTS release rock remix of ""Fake Love"" 

Watch the extended music video https://t.co/zpDs4N99bu https://t.co/vLDkrnXPRj",69
69,,0,"RT @billboarddance: Cooking with @marshmellomusic continues with ""How To Make Vegan Fish &amp; Chips"" (feat. @JamesArthur23) https://t.co/Tdxht…",70
70,,0.34,RT @BillboardPride: Watch @SheaCoulee give a Pride Month herstory lesson on Crystal LaBeija https://t.co/2HfAD1edzJ https://t.co/5wDP9Xm2zN,71
71,,0.4019,"RT @billboardhiphop: Drake &amp; Lil Baby rule the On-Demand Streaming Songs chart with ""Yes Indeed"" https://t.co/caneM5JhkZ https://t.co/TzN6Z…",72
72,,-0.296,"Watch the lyric video for Dee Snider's ""Tomorrow Is No Concern"" (exclusive) https://t.co/aInAUJr2lB https://t.co/Y5Pvg5JLPp",73
73,,0.7506,Share your own love letters to the LGBTQ community using #30DaysPride,74
74,,0.6369,Read @BritneySpears' love letter to the LGBTQ community #30DaysPride https://t.co/banUiD14ym https://t.co/8EUqPwbdCL,75
75,,0,Alejandro Fernandez &amp; Los Tigres del Norte to tour together https://t.co/MhIqxDzTrO https://t.co/Oz2stbObl7,76
76,,0.6369,RT @billboard: Read @ArianaGrande's love letter to the LGBTQ community #30DaysPride https://t.co/DsCfXQpj0H https://t.co/wjQvDX4dKn,77
77,,0,12 musicians to discover during LGBTQ #PrideMonth #30DaysPride https://t.co/UvZ18uKE4Z https://t.co/sFQXH1b9H9,78
78,,0.3612,"Check out the full credits to Kanye West's ""Ye"" album https://t.co/tN5eaFC0mx https://t.co/62oNIbl8gZ",79
79,,0,"Music industry veteran David Linton talks black executive inclusion: ""Let's get it right this time""… https://t.co/8qHz9NIpx1",80
80,,0.1531,"RT @billboarddance: .@CalvinHarris &amp; @DUALIPA's ""One Kiss"" is No. 1 on two dance/electronic charts https://t.co/56SZfrDe8A https://t.co/gXg…",81
81,,0,"RT @billboardhiphop: Rounding up every celebrity Kanye West shouted out on ""Ye"" https://t.co/mjHQtxYPsv https://t.co/V7bZZbKEFa",82
82,,0.7506,Share your own love letters to the LGBTQ community using #30DaysPride,83
83,,0.6369,Read @ddlovato's love letter to the LGBTQ community #30DaysPride https://t.co/agTKQjvuG3 https://t.co/hT2PLmKhsR,84
84,,0,"Shawn Mendes says he's ""not turned off of Kanye West,"" and reveals drinking habits in new interview… https://t.co/ZOIsOPTRBz",85
85,,-0.5719,".@cameronesposito on telling rape jokes in the #MeToo era: ""I'm trying to move the lens around""… https://t.co/qq67CyusUV",86
86,,0.7506,Share your own love letters to the LGBTQ community using #30DaysPride,87
87,,0,"Rounding up every celebrity Kanye West shouted out on ""Ye"" https://t.co/5O3RqpVFPW https://t.co/pqMGvNAcK9",88
88,,0,"RT @billboardhiphop: Ranking every song from Kanye West's ""Ye"" album (critic's picks) https://t.co/RQURIMt4GU https://t.co/hXUaKHm1zC",89
89,,0.6369,Read @RuPaul's love letter to the LGBTQ community #30DaysPride https://t.co/c0kJRHHUGc https://t.co/3nDjbHOhdK,90
90,,0.7959,"RT @billboardhiphop: Fab 5 Freddy &amp; Ed Lover look back on 30 years of ""Yo! MTV Raps"": ""I thought it would probably last a summer"" https://t…",91
91,,0.296,Attending a #WearOrange Weekend event today? Share your pics on social media with the #WearOrange hashtag https://t.co/yK7GBUcNso,92
92,,0.4404,"Shawn Mendes braves the rain for a rocking ""Today"" show performance https://t.co/jccKFkjFAv https://t.co/huhKK10KxZ",93
93,,-0.0772,RT @billboardhiphop: Top Dawg explains how he warned Spotify's CEO that Kendrick Lamar and others would pull music over conduct policy http…,94
94,,0.2023,RT @BillboardPride: The top 50 essential LGBTQ anthems: critic's picks https://t.co/WqdLZTKg5c https://t.co/zgOAPajxUT,95
95,,0.6369,Why 1998 was the greatest year of my hip-hop lifetime https://t.co/0oDKeraknE https://t.co/7SZW75QkFu,96
96,,0,"Ranking every song from Kanye West's ""Ye"" album (critic's picks) https://t.co/6q9sqBpI2J https://t.co/qGEL8k4vEL",97
97,,0.4939,"? #Hot100 Chart Moves ?

@TheGreatKhalid &amp; @Normani's ""Love Lies"" hits the top 40 after their @BBMAs performance… https://t.co/h9UaO0PRkt",98
98,,0.7506,Share your own love letters to the LGBTQ community using #30DaysPride https://t.co/QB76iBcrwB,99
99,,0,@ArianaGrande  https://t.co/hMw4jqPT98,100
