,,Compound,Text,Tweets Ago
64,,-0.1689,Set up mobile payments on your phone before #CMAfest so you can pay faster at select concession stands and get back… https://t.co/W0TkUOzUhN,65
65,,0,Dress to the nines in #CMAfest merch! Shop here: https://t.co/YZSRVa1dQU https://t.co/CGQxsYA91F,66
66,,0.9029,"We love a small town boy like @DustinLynch - happy birthday! Listen: https://t.co/1ZUtuYMvTt

Don't miss him at… https://t.co/u313fzwRQi",67
67,,0.2023,.@CarrieUnderwood is headed back to the @AmericanIdol stage to perform and guest mentor the Top 5 TONIGHT at 8|7c o… https://t.co/R05oEz7qe9,68
68,,0,The @cityofhope Celebrity Softball Game returns to #Nashville on June 9! Be there when Country Music's biggest star… https://t.co/fE0AGvVVBj,69
69,,0.6114,"""If I Told You"" it's @DariusRucker's birthday, would you believe us? Happy birthday! Listen:… https://t.co/KtaPLfeeyL",70
70,,0.6114,"Day or night, the music keeps on playing at #CMAfest! ? ? Experience the true ?? of Nashville aboard @nashtrolley’s… https://t.co/6mkuS1ApSM",71
71,,0,"RT @DierksBentley: Watch

You 
Can't 
Bring 
Me 
Down

Now
On
@AppleMusic 

https://t.co/mlfkI3hx86

#CultivateKindness https://t.co/2TJPFA…",72
72,,0,RT @russelled: FINALLLYYYY!!! Watch the #BlueTacoma music video NOW on @Vevo ? https://t.co/i9oz7Ot38H https://t.co/pKPqoM044e,73
73,,0.8176,RT @jtimberlake: Thank you to the one and only @ChrisStapleton for making an appearance last night in Nashville. Always honored to share th…,74
74,,0.6808,Want to meet some of your favorite Country artists at #CMAfest? Use the official app to register for CMA Fest Fan A… https://t.co/lNdIOEzNCJ,75
75,,0.4926,Experience the aloha at the @OfficialMauiJim sunglasses booth this year at #CMAfest! The view's better from here.… https://t.co/hYsQxljw9K,76
76,,0.7655,RT @coleswindell: This song is so special to me &amp; I’m so excited for y’all to hear it. #TheOnesWhoGotMeHere https://t.co/cD7LLxHq7M,77
77,,0.2714,"RT @JordanCWDavis: First time playing the @opry…can’t wait! 

https://t.co/oQCkZDNKqn. https://t.co/QvyAyf4p4j",78
78,,0.6447,"RT @tenilletownes: This song, and its permission to ask God the hard questions, is so important to me. Losing people we love is hard. Somet…",79
79,,-0.2263,".@TheWildFeathers stopped by our office to give us a taste of what YOU can hear at #CMAfest. Their new album, “Gree… https://t.co/JgAt64gZGF",80
80,,0.836,"Last night, the #CMAFoundation honored 34 Music Teachers of Excellence from across the country for… https://t.co/Pv5V1Pq1QP",81
81,,0,RT @carrieunderwood: Watch the official #CryPretty music video now! -TeamCU https://t.co/ryVbINeB0m,82
82,,0,"""Rays of gold are shining on ya"" for your birthday, Russell Dickerson! See ya at #CMAfest! @Russelled 

Listen:… https://t.co/hLPg9u124Z",83
83,,0.2695,RT @carrieunderwood: Watch @AmericanIdol tonight to get a worldwide exclusive look at my new music video for #CryPretty !! Live show starts…,84
84,,0.0772,"RT @lukecombs: When I woke up this morning and saw ""Beautiful Crazy"" as the No. 1 OVERALL song on iTunes, all I could think was that I have…",85
85,,0.9283,RT @barkbox: DOES YOUR DOG LOVE COUNTRY MUSIC BECAUSE HE IS HIS OWN MAN WITH HIS OWN TASTES? Then enter to win our DOG FRIENDLY trip to Nas…,86
86,,0.4633,LAST CHANCE! #CMAfest Grab Bag sale ends at 11:59 PM PT tonight. Buy here: https://t.co/YZSRVaiOIs https://t.co/4U9fihJZJn,87
87,,0,"RT @Sugarlandmusic: You’ve got each other, that’s your #Mother. ? Watch the lyric video now!
https://t.co/08iKhzDypO https://t.co/AAr9Tfk77r",88
88,,0.5984,RT @DrakeWhite: Alternate cover from an alternate universe. So excited to finally share PIECES with you all. #maythefourthbewithyou #starwa…,89
89,,0,RT @carrieunderwood: Coming soon… #CryPretty https://t.co/Rc0ZotYYlC,90
90,,0.6369,".@barkbox wants to send you, your friend, and your dog (yes, your dog) on a dream vacation to Nashville for… https://t.co/qd67PAHLir",91
91,,-0.5093,RT @coreysmithmusic: This ain’t no cookie-cutter shit… Empty Rooms is available now! #GreatWideUnderground Listen now: https://t.co/BWKkbxz…,92
92,,0.9078,"""Queens Don't"" go ""Kissin' Frogs"" on their birthdays, they celebrate! Happy birthday to the fabulous @RaeLynn! List… https://t.co/U7NApqDdXu",93
93,,0.6114,"Happy birthday, @RandyTravis! We'll be listening to your music for ""as long as old men sit and talk about the weath… https://t.co/BUFG1r7Qz9",94
94,,0,"RT @DanAndShay: #ALLTOMYSELF | AVAILABLE NOW ?

https://t.co/yUTPVwelXm https://t.co/23ebtQfuZN",95
95,,-0.0056,"RT @saraevansmusic: I had so much fun in Cincinnati yesterday for the #CMASongwritersSeries presented by @usbank with @trentharmon, Rob Hat…",96
96,,0.872,RT @ericpaslay: Great day in #Cincinnati with @saraevansmusic @trentharmon and #RobHatch  getting to gift instruments to kids thanks to @cm…,97
97,,0.4404,"RT @usbank: One school down, three to go. Cincinnati’s Roselawn Elementary School just received a music makeover thanks to #USBank and @Cou…",98
98,,0.2867,? STOP what you are doing! ? It's the last day to enter to win a signed copy of @AshleyMonroe's album #Sparrow :… https://t.co/gncDjwX2WC,99
99,,0.6696,"Be the best dressed with BRAND NEW #CMAfest merch! For 48 hours only, buy the $35 Grab Bag (a $49 value), which inc… https://t.co/5A1USc3A1l",100
