sentiment,text
positive,"Benny Blanco thanks Kanye West for making his ""childhood dreams come true"" with #Ye contribution… https://t.co/ocPH90mtxq"
neutral,#QueerEye stars AJ Brown &amp; Drey got married https://t.co/3VOPUuBFSs https://t.co/EQsVybEZce
neutral,".@AllieX talks ""apocalyptic"" new single, writing with Troye Sivan &amp; her connection to the LGBTQ community… https://t.co/hiJ9Dd0Kpv"
neutral,"Watch Pusha T perform ""If You Know You Know"" on @JimmyKimmelLive https://t.co/nDlLofBuMv https://t.co/4sbT45UPVq"
positive,"Daniel Ash talks inspiration behind new, but retro, band Poptone: ""It's like riding a bicycle""… https://t.co/4VRQ2EaT64"
negative,El Fantasma adds more Reanchando en La Ciudad Tour dates with stops in Chicago and L.A. https://t.co/t1cmJ6zIHe https://t.co/DY2LdT9xdV
positive,St. Vincent plays MoMa's Party In the Garden and talks museum's restorative power https://t.co/WirYW8HMfE https://t.co/s0SeIYLaRN
neutral,Rolling Loud co-founders Matt Zingler &amp; Tariq Cherif talk globalization and spotting trends before they happen… https://t.co/Nyo7GzUvFa
positive,"David Morales, Spearmint and the best piano sample of 1998 https://t.co/ULSXOSSJ1d https://t.co/9lHIeBhoH4"
negative,"Women's advocacy group slams Spotify for putting ""profits over people"" with ""Hateful Conduct"" reversal… https://t.co/uNtFfFnGVo"
neutral,"The Who's Roger Daltrey on his first solo album in 26 years ""As Long as I Have You"" https://t.co/cElTtoFyzZ https://t.co/H0AopcRwsD"
negative,"Pop Evil aims for change with ""A Crime to Remember"" video https://t.co/5K3gxsCsrD https://t.co/4f9LnMEnJM"
neutral,"Listen to new songs by Pablo Alboran, Juanes &amp; more #VivaFriday https://t.co/EOOud0g7fO https://t.co/EwwJxx16OX"
neutral,"Future unveils track list for #Superfly soundtrack, feat. Miguel &amp; Lil Wayne https://t.co/8ddHQncmkr https://t.co/cYYwY1p21f"
negative,"Five Finger Death Punch overcome the odds for ""Justice"" https://t.co/JIuppnIiwv https://t.co/udseKJghjt"
neutral,"Frank Ocean's attorney responds to ""Blonde"" producer Om'Mas Keith's countersuit against the singer: ""Mr. Ocean will… https://t.co/7qqJDoXKxa"
neutral,"How ""Frozen"" moved from movie to musical https://t.co/Z9EhmM2yzd https://t.co/BsAGZG55PL"
positive,How well do you know Beyoncé &amp; JAY-Z's lyrics? ? https://t.co/JAyHYA2K0Y https://t.co/0lP6FOa4jY
neutral,"P!nk sings ""Just a Girl"" with Gwen Stefani &amp; 6 more highlights from LA concert https://t.co/Wd70ZDMIqj https://t.co/fxhcv1y52g"
positive,Heard Well teams up with GLSEN to curate a Pride Month compilation album of LGBTQ artists https://t.co/1g5t6qL7md https://t.co/pou10QOwzc
positive,"This One's for the Girls! 

How Shania Twain, Faith Hill &amp; Dixie Chicks led a late '90s female revolution that brok… https://t.co/CCLPifWPmv"
positive,Spotify vs. Pandora: Which radio competitor is winning at the ad-supported game? https://t.co/wuZuJW8fgk https://t.co/YAliRX3Xzu
neutral,Guns N' Roses will bring tour to Asia in November https://t.co/L6w5HyOi19 https://t.co/toFyBunwi6
neutral,"Gwen &amp; Gavin, Will &amp; Jada and more, these were music's biggest couples of 1998  https://t.co/bR90xZlV5O https://t.co/1gXWVa97ux"
positive,"TWICE's cover of ""I Want You Back"" features in new Japanese rom-com https://t.co/kUJHkrXqk0 https://t.co/VBbkYy3h1I"
positive,"The Next Generation of Lauryn Hill

From Teyana Taylor to Ella Mai, 16 artists tell us their favorite ""Miseducation… https://t.co/jlJ1RcucfX"
negative,RT @billboardhiphop: Migos miss flight to Primavera Sound and Skepta fills in https://t.co/hEmJdNMS9V https://t.co/9GmK1wWB6S
negative,"In deal for NYC Grammys, MSG warned Recording Academy that ""no events could be at Barclays"" https://t.co/dJqOj3UnF8 https://t.co/akRGohtNzZ"
negative,"The Dead South tells a sordid puppet tale in ""Miss Mary"" video (premiere) https://t.co/p8ni2VYm0i https://t.co/vJgQGdbEQH"
neutral,"Camila Cabello's ""Havana"" is Spotify's most-streamed song ever by a solo female artist https://t.co/mtvEgYbNCw https://t.co/VimrcQ9UR2"
positive,"RT @billboardhiphop: The Next Generation of Lauryn Hill: 16 artists on their favorite ""Miseducation"" songs https://t.co/SmmXYzYUOO https://…"
positive,"RT @billboardhiphop: Check out the full credits to Kanye West's ""Ye"" album https://t.co/3znEqY4i0f"
positive,Read @SelenaGomez's love letter to the LGBTQ community #30DaysPride https://t.co/Buu2zJ1MKz https://t.co/71V0rcjhwE
positive,"""Before you know it, it was like 12 pm and we had the song!"" 

@ShawnMendes tells us #HowItWentDown with his song ""… https://t.co/l4qcDe2dQT"
positive,"Snow Patrol's ""Wildness"" denied U.K. No. 1 album by ""Greatest Showman"" https://t.co/hejKt7pIY0 https://t.co/KzyTEFtzAe"
positive,"RT @billboardhiphop: Exclusive: @whoisLukejames is hopelessly addicted to love on soulful ""These Arms"" https://t.co/IWKf1SJYpO https://t.co…"
negative,Five Finger Death Punch (@FFDP) lands fifth No. 1 on Hard Rock Albums chart https://t.co/UZxoqsZ8vX https://t.co/CbqzoPFHic
positive,"Kanye West releases ""Wyoming"" merchandise collection for ""Ye"" listening party https://t.co/oQ3dtwD4oj https://t.co/dAPjCE71r7"
positive,"RT @billboarddance: These are the 7 best remixes &amp; covers of @CalvinHarris &amp; @DUALIPA's ""One Kiss"" https://t.co/XzzL9malJH https://t.co/oaL…"
neutral,"RT @billboardhiphop: ""I have been listening to Lauryn Hill for as long as I have been able to speak...I strive to become the artist that sh…"
positive,Read @BebeRexha's love letter to the LGBTQ community #30DaysPride https://t.co/Uq1AhsPDzF https://t.co/m1RW5UPfiF
neutral,9 ways the royal wedding impacted the Billboard charts https://t.co/Btk6rhH8at https://t.co/GoopK6wRAt
positive,"From Pete Rodriguez to Tito Nieves to Cardi B, the definitive history of ""I Like It Like That""… https://t.co/QL9yWpFkj0"
negative,Hacker claims they warned Ticketfly about vulnerability and sought payment https://t.co/rhpZmmLoWJ https://t.co/G4ikhOiJJf
neutral,"Jimmy Fallon and Lin-Manuel Miranda goof off while boating in ""Two Goats in a Boat"" video https://t.co/TNFJ3LZOAE https://t.co/pqJzHfszdQ"
neutral,"Queen's ""Bohemian Rhapsody"" biopic trailer sparks title track &amp; other classics on the Hot Rock Songs chart… https://t.co/Ym3yomYgX5"
positive,Read @MartinGarrix's love letter to the LGBTQ community #30DaysPride https://t.co/HUOxQI06Wi https://t.co/RrLXHZARbg
positive,"BTS release rock remix of ""Fake Love"" 

Watch the extended music video https://t.co/zpDs4N99bu https://t.co/vLDkrnXPRj"
neutral,"RT @billboarddance: Cooking with @marshmellomusic continues with ""How To Make Vegan Fish &amp; Chips"" (feat. @JamesArthur23) https://t.co/Tdxht…"
positive,RT @BillboardPride: Watch @SheaCoulee give a Pride Month herstory lesson on Crystal LaBeija https://t.co/2HfAD1edzJ https://t.co/5wDP9Xm2zN
positive,"RT @billboardhiphop: Drake &amp; Lil Baby rule the On-Demand Streaming Songs chart with ""Yes Indeed"" https://t.co/caneM5JhkZ https://t.co/TzN6Z…"
negative,"Watch the lyric video for Dee Snider's ""Tomorrow Is No Concern"" (exclusive) https://t.co/aInAUJr2lB https://t.co/Y5Pvg5JLPp"
positive,Share your own love letters to the LGBTQ community using #30DaysPride
positive,Read @BritneySpears' love letter to the LGBTQ community #30DaysPride https://t.co/banUiD14ym https://t.co/8EUqPwbdCL
neutral,Alejandro Fernandez &amp; Los Tigres del Norte to tour together https://t.co/MhIqxDzTrO https://t.co/Oz2stbObl7
positive,RT @billboard: Read @ArianaGrande's love letter to the LGBTQ community #30DaysPride https://t.co/DsCfXQpj0H https://t.co/wjQvDX4dKn
neutral,12 musicians to discover during LGBTQ #PrideMonth #30DaysPride https://t.co/UvZ18uKE4Z https://t.co/sFQXH1b9H9
positive,"Check out the full credits to Kanye West's ""Ye"" album https://t.co/tN5eaFC0mx https://t.co/62oNIbl8gZ"
neutral,"Music industry veteran David Linton talks black executive inclusion: ""Let's get it right this time""… https://t.co/8qHz9NIpx1"
positive,"RT @billboarddance: .@CalvinHarris &amp; @DUALIPA's ""One Kiss"" is No. 1 on two dance/electronic charts https://t.co/56SZfrDe8A https://t.co/gXg…"
neutral,"RT @billboardhiphop: Rounding up every celebrity Kanye West shouted out on ""Ye"" https://t.co/mjHQtxYPsv https://t.co/V7bZZbKEFa"
positive,Share your own love letters to the LGBTQ community using #30DaysPride
positive,Read @ddlovato's love letter to the LGBTQ community #30DaysPride https://t.co/agTKQjvuG3 https://t.co/hT2PLmKhsR
neutral,"Shawn Mendes says he's ""not turned off of Kanye West,"" and reveals drinking habits in new interview… https://t.co/ZOIsOPTRBz"
negative,".@cameronesposito on telling rape jokes in the #MeToo era: ""I'm trying to move the lens around""… https://t.co/qq67CyusUV"
positive,Share your own love letters to the LGBTQ community using #30DaysPride
neutral,"Rounding up every celebrity Kanye West shouted out on ""Ye"" https://t.co/5O3RqpVFPW https://t.co/pqMGvNAcK9"
neutral,"RT @billboardhiphop: Ranking every song from Kanye West's ""Ye"" album (critic's picks) https://t.co/RQURIMt4GU https://t.co/hXUaKHm1zC"
positive,Read @RuPaul's love letter to the LGBTQ community #30DaysPride https://t.co/c0kJRHHUGc https://t.co/3nDjbHOhdK
positive,"RT @billboardhiphop: Fab 5 Freddy &amp; Ed Lover look back on 30 years of ""Yo! MTV Raps"": ""I thought it would probably last a summer"" https://t…"
positive,Attending a #WearOrange Weekend event today? Share your pics on social media with the #WearOrange hashtag https://t.co/yK7GBUcNso
positive,"Shawn Mendes braves the rain for a rocking ""Today"" show performance https://t.co/jccKFkjFAv https://t.co/huhKK10KxZ"
negative,RT @billboardhiphop: Top Dawg explains how he warned Spotify's CEO that Kendrick Lamar and others would pull music over conduct policy http…
positive,RT @BillboardPride: The top 50 essential LGBTQ anthems: critic's picks https://t.co/WqdLZTKg5c https://t.co/zgOAPajxUT
positive,Why 1998 was the greatest year of my hip-hop lifetime https://t.co/0oDKeraknE https://t.co/7SZW75QkFu
neutral,"Ranking every song from Kanye West's ""Ye"" album (critic's picks) https://t.co/6q9sqBpI2J https://t.co/qGEL8k4vEL"
positive,"? #Hot100 Chart Moves ?

@TheGreatKhalid &amp; @Normani's ""Love Lies"" hits the top 40 after their @BBMAs performance… https://t.co/h9UaO0PRkt"
positive,Share your own love letters to the LGBTQ community using #30DaysPride https://t.co/QB76iBcrwB
neutral,@ArianaGrande  https://t.co/hMw4jqPT98
neutral,.@TextronOffRoad comin' in hot to #CMAfest! Check out their booth June 7 - 10. https://t.co/wVbgGHItgc
positive,"With a #CMAfest NASH PASS, catch performances in @Xfinity Fan Fair X &amp; get VIP Early Access to the @CrackerBarrel C… https://t.co/lD4qU1iDIb"
neutral,RT @randi_stevens2: ???????? just in time for my road trip to Nashville for #CMAFest @lukecombs https://t.co/y8xfVhgM1q
neutral,RT @littlebigtown: 6.6.18 #SummerFever ? https://t.co/lg1QamP7iQ
positive,"RT @lindsayell: My fav album is @JohnMayer ‘s #Continuum. My producer, @kristianbush asked me to record it as a homework assignment. It was…"
neutral,RT @KeithUrban: Check out the brand new music video for #ComingHome featuring @juliamichaels! ? https://t.co/VtIZoI17Rc
negative,"RT @cb30music: New single, ‘Like It’s a Bad Thing’ is out now! 
Listen here ? https://t.co/rmGbB0RxOw https://t.co/cROinss8Zg"
positive,RT @Michaelraymusic: My album #Amos is OUT. I have so many people to thank for making this a reality. But most importantly you.. the fans.…
positive,"RT @FLAGALine: Our brand new single “Simple” is out now everywhere you get music! And just cause we love y’all, we decided to drop another…"
neutral,RT @TerriClarkMusic: #TBT to #CMAFest 2016. Come catch me at this year’s #CMAFest on the Budweiser Forever Country Stage next Thursday at 3…
neutral,RT @Broncoblondie13: My new travel bucket list includes @CountryMusic cmafest in Nashville. #CMAFest
positive,RT @xkatie19x: CMA fest playlist blasting in my ears chilling in the VIP lounge awaiting to board ma flight to my dream location! Nashville…
neutral,RT @Eureggie: Packing for #CMAfest and realizing every shirt I own says @ChrisYoungMusic on it! ?? #AwNaw #TheresMore #WhatDoIWear https://…
neutral,Attending #CMAfest? So is @Budweiser. See you there. #ThisBudsForYou https://t.co/HDVkVQuPui
positive,"Our friends at @FirestoneTires, an official partner of #CMAfest, are coming to Xfinity Fan Fair X! Stop by June 7-1… https://t.co/wZl8MdmcEW"
positive,.@GoRVing is gearing up for their road trip to Nashville for #CMAfest! RT if you're excited as they are! #GoRVing https://t.co/aY3biNAfxk
neutral,There's still time to get in on all the #CMAfest action! Grab your pass now and start packing!… https://t.co/eT3f7DvP3Y
positive,"The safety of our fans, artists and staff is our top priority. For more info about all things CMA Fest, including t… https://t.co/mq2WaNKX7z"
positive,TIME IS ALMOST UP! Enter the #CMAfest Ultimate Fan Experiences Drawing by 10 AM|CT tomorrow for a chance to win a m… https://t.co/SgV5BlBLW0
positive,ONLY 24 HOURS LEFT to enter the Ultimate Fan Experiences Drawing for a chance to meet some of your favorite Country… https://t.co/zg6GFTbE5T
positive,Make sure to grab your tickets to see performances on the Radio Disney Country Stage inside @Xfinity Fan Fair X!… https://t.co/bPqlKqCDMu
neutral,RT @coleswindell: #TheOnesWhoGotMeHere video is out now on @AOL.  https://t.co/8TbwoqrDmT
neutral,RT @russelled: Watch the #BlueTacoma music video NOW on @CMT!!!! https://t.co/UmoV8dSBHQ https://t.co/hpwOSbyPUE
neutral,RT @mirandalambert: Wednesday. #KeeperOfTheFlame https://t.co/leCMgFX16y
neutral,RT @TeganMarieMusic: #IKHTMABC ? 6.1.18 https://t.co/3n8V1dW1tf
positive,The Ultimate Fan Experiences Drawing is NOW OPEN! Enter here for a chance to win artist meet-and-greets and access… https://t.co/DVojkHeEBG
